"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","38","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","904","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","148","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","51","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","10","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","15","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","86","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","0","623","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","27","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","10","1","0.000000","0","0"
"/Game/Assets/Textures/Handwash_station_map_Mat.Handwash_station_map_Mat","0","15","15","1","9.726229","0","0"
"/Game/Assets/3DModels/lambert1.lambert1","0","0","24","1","0.000000","0","0"
"/Game/Assets/3DModels/pCube8Mat.pCube8Mat","0","0","24","1","0.000000","0","0"
"/Game/Assets/3DModels/pCylinder5Mat.pCylinder5Mat","0","0","24","1","0.000000","0","0"
"/Game/Assets/3DModels/lambert2.lambert2","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/WallMats/BrownFloor.BrownFloor","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/WallMats/BlueWall.BlueWall","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/Trash_bin_map_Mat.Trash_bin_map_Mat","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/ItemMats/OnionMat.OnionMat","0","48","48","1","28.837231","0","0"
"/Game/Assets/Textures/Single_door_freezer_map_Mat.Single_door_freezer_map_Mat","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/ItemMats/SingleSinkMat.SingleSinkMat","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/Celling_light_Mat.Celling_light_Mat","0","15","15","1","9.793676","0","0"
"/Game/Assets/Textures/Hand_soap__map_Mat.Hand_soap__map_Mat","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/4_stove_comp_map_Mat.4_stove_comp_map_Mat","0","0","24","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","68","1","0.000000","0","0"
"/Game/Assets/FBXs/FrenchChef/FemaleChefTexture_Mat.FemaleChefTexture_Mat","0","39","39","1","21.921520","0","0"
"/Game/Assets/3DModels/pCube1Mat.pCube1Mat","0","0","24","1","0.000000","0","0"
"/Game/Assets/Textures/ItemMats/KnifeMat.KnifeMat","0","0","24","1","0.000000","0","0"
"/Game/Assets/FBXs/ChiliPepper/phong3SG.phong3SG","0","0","39","1","0.000000","0","0"
"/Game/Assets/FBXs/ChiliPepper/phong2SG.phong2SG","0","0","39","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","20","1","0.000000","0","0"
"/Game/Assets/FBXs/Chef/AsianChefMat.AsianChefMat","0","0","39","1","0.000000","0","0"
"/Game/Assets/FBXs/Onion/Material_001.Material_001","0","39","39","1","21.495970","0","0"
